datum,startade,spelade,rätt,insats,utdelning,vinst,vinstprocent,rättprocent
2019-02-09,75,0,0,0.0,0.0,0.0,,
2019-02-16,71,6,1,82.92430797026088,229.00240306958008,146.07809509931923,176.15835293037014,16.666666666666668
2019-02-23,59,6,1,84.22859250871694,60.475860635959926,-23.752731872757018,-28.2003191140809,16.666666666666668
2019-03-02,64,5,1,101.84642704818418,23.338264331636772,-78.5081627165474,-77.08484724692865,20.0
2019-03-03,66,3,0,53.58248261697172,0.0,-53.58248261697172,-100.0,0.0
2019-03-09,64,13,2,142.13936899920935,89.79630555412776,-52.34306344508161,-36.825169419017726,15.384615384615385
2019-03-16,67,7,1,111.91162529282447,91.15622246246363,-20.75540283036084,-18.546243766948162,14.285714285714286
2019-03-23,62,1,0,26.225810751926122,0.0,-26.225810751926122,-100.0,0.0
2019-03-30,65,9,3,309.56627214755304,555.957713239479,246.39144109192588,79.5924696132545,33.333333333333336
2019-03-31,66,3,0,16.118148950912953,0.0,-16.118148950912953,-100.0,0.0
2019-04-06,64,11,1,210.29057922974673,102.11368772511086,-108.17689150463588,-51.441625155471385,9.090909090909092
2019-04-13,53,4,2,439.0776203926134,589.5657428702941,150.48812247768075,34.273694556128284,50.0
2019-04-18,54,5,3,153.97263159794093,205.89201550549015,51.91938390754923,33.71987824636463,60.0
2019-04-19,55,8,0,206.35450092313147,0.0,-206.35450092313147,-100.0,0.0
2019-04-20,65,9,1,194.57582212616146,67.5725532032522,-127.00326892290926,-65.27186550472922,11.11111111111111
2019-04-21,64,16,4,614.7628596329857,870.097013665237,255.33415403225138,41.53376379709832,25.0
2019-04-27,66,10,1,126.18043951808988,31.137450765788117,-95.04298875230177,-75.32307631459463,10.0
2019-05-01,52,4,1,92.43688749665398,266.1243014370881,173.6874139404341,187.89837979640026,25.0
2019-05-04,58,8,2,192.54069044199315,769.7849942352776,577.2443037932845,299.803798598713,25.0
2019-05-11,60,5,0,147.8359821463322,0.0,-147.8359821463322,-100.0,0.0
2019-05-12,54,9,3,455.1493092105047,215.88133155564228,-239.26797765486253,-52.56911804829348,33.333333333333336
2019-05-18,60,6,0,71.85122481678141,0.0,-71.85122481678141,-100.0,0.0
2019-05-25,59,9,1,270.787626985919,227.08184019210233,-43.70578679381669,-16.140245136122633,11.11111111111111
2019-05-26,58,2,1,68.7385629261657,164.848722314745,96.11015938857929,139.81985554719014,50.0
2019-06-01,59,11,1,131.2255711212545,112.69185513918889,-18.53371598206559,-14.12355520627923,9.090909090909092
2019-06-08,67,4,1,78.57124546946538,334.1770573081264,255.605811838661,325.317245910268,25.0
2019-06-09,59,7,2,328.6909325992975,624.0193372335322,295.3284046342347,89.84987882043748,28.571428571428573
2019-06-15,61,6,1,259.6440362276422,289.1129915798878,29.46895535224564,11.349752445848136,16.666666666666668
2019-06-23,62,10,3,143.81462049509972,188.45766120011712,44.64304070501739,31.042073852664057,30.0
2019-06-29,56,11,1,114.11101798805677,45.536430480920615,-68.57458750713616,-60.09462426696903,9.090909090909092
2019-07-04,63,10,0,124.63438018897867,0.0,-124.63438018897867,-100.0,0.0
2019-07-06,63,9,0,122.15383471522254,0.0,-122.15383471522254,-100.0,0.0
2019-07-07,60,9,0,128.22740059387294,0.0,-128.22740059387294,-100.0,0.0
2019-07-13,61,6,1,144.09694467673563,67.43708496654372,-76.65985971019188,-53.2001978821752,16.666666666666668
2019-07-20,66,6,0,114.3137734799421,0.0,-114.3137734799421,-100.0,0.0
2019-07-21,56,4,1,71.79982515177619,44.143527084164795,-27.656298067611395,-38.51861478652533,25.0
2019-07-27,61,6,1,63.338739980719964,55.178993336460394,-8.159746644259567,-12.882710718185045,16.666666666666668
2019-07-30,60,8,1,294.31064298543697,152.8444064698842,-141.46623651555277,-48.06697952902532,12.5
2019-08-03,58,8,2,133.83358801783055,272.5951273206455,138.76153930281492,103.68214837394021,25.0
2019-08-10,62,8,2,288.6177895298903,480.1804218508693,191.562632320979,66.372427227373,25.0
2019-08-11,50,4,2,118.05644111275836,302.55996032078883,184.50351920803047,156.28416160013415,50.0
2019-08-14,57,6,1,179.18270136877248,270.7409252520337,91.55822388326128,51.09769145338815,16.666666666666668
2019-08-17,56,12,3,321.2561443969886,585.6073553737918,264.35121097680326,82.28674084133137,25.0
2019-08-21,47,4,0,129.37483870604336,0.0,-129.37483870604336,-100.0,0.0
2019-08-22,59,6,2,73.03858001834105,32.02239267288032,-41.016187345460736,-56.156879467208945,33.333333333333336
2019-08-23,59,4,1,108.15679094436497,301.61826934408197,193.461478399717,178.8713188608121,25.0
2019-08-24,68,4,0,51.37106790439974,0.0,-51.37106790439974,-99.99999999999999,0.0
2019-08-25,59,0,0,0.0,0.0,0.0,,
2019-08-31,59,7,2,263.90334008598836,169.97153700710697,-93.9318030788814,-35.59326041431508,28.571428571428573
2019-09-01,59,6,1,437.00851459592866,208.1937201838797,-228.8147944120489,-52.35934467400893,16.666666666666668
2019-09-07,55,8,1,33.05644916452588,35.47149396016972,2.4150447956438406,7.305820366924092,12.5
2019-09-08,58,10,0,449.05439448738366,0.0,-449.05439448738366,-100.0,0.0
2019-09-14,61,8,2,197.1902067789278,109.30871872599973,-87.88148805292808,-44.5668623652558,25.0
2019-09-21,72,13,0,152.62701114536003,0.0,-152.62701114536003,-100.0,0.0
2019-09-28,57,9,1,130.6386290910615,218.94711472593355,88.30848563487206,67.59752934433867,11.11111111111111
2019-09-29,60,4,1,47.977887055733554,30.762216263728973,-17.215670792004587,-35.88251139948282,25.0
2019-10-05,54,4,1,27.55461584141036,25.67776115955634,-1.8768546818540184,-6.811398470064655,25.0
2019-10-12,65,4,1,74.3096433615316,35.04557393327384,-39.264069428257756,-52.83845763763127,25.0
2019-10-19,61,13,3,146.63525460745333,359.9376910255882,213.30243641813485,145.4646339921129,23.076923076923077
2019-10-26,65,2,0,334.2496614052505,0.0,-334.2496614052505,-100.00000000000001,0.0
2019-10-27,57,4,1,283.27376030115596,217.35646222995453,-65.91729807120143,-23.269821391548223,25.0
2019-11-02,59,1,0,86.81983622306069,0.0,-86.81983622306069,-99.99999999999999,0.0
2019-11-09,68,11,2,92.39066387858175,96.97781278723964,4.5871489086578885,4.964948530607208,18.181818181818183
2019-11-10,58,12,2,124.65678474696615,5.397341543048305,-119.25944320391784,-95.6702384438969,16.666666666666668
2019-11-16,62,4,0,64.88744055496927,0.0,-64.88744055496927,-100.0,0.0
2019-11-23,65,5,0,154.41951393288238,0.0,-154.41951393288238,-100.0,0.0
2019-11-30,69,3,0,20.524592462270064,0.0,-20.524592462270064,-100.00000000000001,0.0
2019-12-01,56,4,2,149.58436029511256,587.9568607320031,438.37250043689056,293.06038383426755,50.0
2019-12-07,70,6,1,142.98550419013952,162.77430649542592,19.788802305286396,13.839726213764722,16.666666666666668
2019-12-14,66,4,1,57.68517976846296,148.53850654528003,90.85332677681707,157.49855880051786,25.0
2019-12-21,61,3,1,297.18847071661236,789.5125348882268,492.32406417161445,165.66055304382112,33.333333333333336
2019-12-23,67,4,1,63.918204639679445,21.140833452154784,-42.777371187524665,-66.92517636981488,25.0
2019-12-25,63,2,0,30.613581502209136,0.0,-30.613581502209136,-100.0,0.0
2019-12-26,57,6,2,170.82304318016205,80.23597515397655,-90.5870680261855,-53.029770656085304,33.333333333333336
2019-12-27,56,4,1,107.46974630477986,393.5004526809533,286.03070637617344,266.1499782134052,25.0
2019-12-28,60,11,1,232.29734389936118,333.7343477084589,101.43700380909775,43.6668806049903,9.090909090909092
2019-12-29,56,3,0,23.841863104021705,0.0,-23.841863104021705,-100.0,0.0
2019-12-30,62,6,1,188.75526781754087,43.82691336609987,-144.928354451441,-76.78109126550848,16.666666666666668
2019-12-31,43,2,0,46.710986224181234,0.0,-46.710986224181234,-100.0,0.0
2020-01-04,62,4,1,51.617041259901185,157.98687375721894,106.36983249731776,206.07502851960524,25.0
2020-01-11,60,2,1,99.30425336769018,409.7088234243868,310.4045700566966,312.57933021999884,50.0
2020-01-18,63,6,1,210.7399349363361,463.58716903407657,252.84723409774045,119.98069287348163,16.666666666666668
2020-02-01,61,3,0,12.688332415824181,0.0,-12.688332415824181,-100.0,0.0
2020-02-08,64,4,1,42.99252696349902,123.03283080619772,80.0403038426987,186.17259671815413,25.0
2020-02-15,11,0,0,0.0,0.0,0.0,,
2020-02-22,72,6,0,40.183284095643714,0.0,-40.183284095643714,-100.0,0.0
2020-02-29,64,4,0,54.57826652296271,0.0,-54.57826652296271,-100.0,0.0
2020-03-07,54,4,0,165.97017498784143,0.0,-165.97017498784143,-99.99999999999999,0.0
2020-03-14,59,8,2,187.65055204260764,233.25575390405314,45.60520186144548,24.30326016365272,25.0
2020-03-21,63,1,0,18.379923093086767,0.0,-18.379923093086767,-100.0,0.0
2020-03-28,61,3,0,30.798143377508303,0.0,-30.798143377508303,-100.0,0.0
2020-04-04,61,6,1,122.93845875930991,45.13722414023028,-77.80123461907962,-63.28469984433401,16.666666666666668
2020-04-18,53,6,0,74.25987960922336,0.0,-74.25987960922336,-100.0,0.0
2020-04-25,57,4,0,88.39835137705404,0.0,-88.39835137705404,-100.0,0.0
2020-05-02,63,8,1,138.4168452864326,88.05836138245158,-50.358483903981,-36.381759604311014,12.5
2020-05-09,60,11,2,247.40666957513758,231.02790549913405,-16.378764076003577,-6.620178875585783,18.181818181818183
2020-05-16,60,8,2,134.79269584493838,90.24867646661366,-44.54401937832472,-33.04631538015003,25.0
2020-05-23,65,6,1,197.2946849891277,191.59793107309164,-5.6967539160360445,-2.8874340514291985,16.666666666666668
2020-05-30,60,9,2,652.7025008781371,836.8662368400885,184.16373596195132,28.215570756076453,22.22222222222222
2020-06-06,64,5,2,59.984493423759474,271.63798036472804,211.65348694096855,352.8470023840094,40.0
2020-06-13,57,6,1,219.61890938614098,224.89881850513012,5.279909118989131,2.4041231849056435,16.666666666666668
2020-06-14,40,6,1,171.5483538197317,83.22325818041267,-88.32509563931902,-51.486996915245115,16.666666666666668
2020-06-21,58,13,0,138.23133828283568,0.0,-138.23133828283568,-100.0,0.0
2020-07-04,63,8,0,96.05477009793708,0.0,-96.05477009793708,-99.99999999999999,0.0
2020-07-11,59,8,1,234.51048509175467,190.8608965334432,-43.64958855831147,-18.613064802297906,12.5
2020-07-19,58,4,0,93.46226429260548,0.0,-93.46226429260548,-100.0,0.0
2020-07-25,65,7,0,67.16413281702897,0.0,-67.16413281702897,-100.0,0.0
2020-07-28,57,7,3,316.233178720375,648.4385607540783,332.2053820337033,105.05076772081891,42.857142857142854
2020-08-01,61,6,1,274.9738488961509,366.34448082956067,91.37063193340974,33.228844233808424,16.666666666666668
2020-08-08,63,5,0,13.820646054954217,0.0,-13.820646054954217,-100.0,0.0
2020-08-09,53,5,0,64.34185354633549,0.0,-64.34185354633549,-100.0,0.0
2020-08-15,57,6,1,180.1734996844301,479.901069167514,299.7275694830838,166.35496896494215,16.666666666666668
2020-08-19,52,6,2,382.7344908825267,236.36565272226215,-146.36883816026454,-38.2429181709651,33.333333333333336
2020-08-22,57,9,2,395.55100103296814,329.0483463490343,-66.50265468393388,-16.812662465842443,22.22222222222222
2020-08-25,44,3,0,39.618980221984756,0.0,-39.618980221984756,-100.0,0.0
2020-08-29,52,7,2,298.8441342119428,527.3901715031677,228.546037291225,76.47666831202991,28.571428571428573
2020-08-30,53,4,1,264.91193174496,93.65321550832427,-171.2587162366357,-64.64741512719498,25.0
2020-09-05,70,6,1,117.41714247251825,91.32057690029312,-26.096565572225146,-22.22551581710746,16.666666666666668
2020-09-06,58,1,0,14.40465592679748,0.0,-14.40465592679748,-100.0,0.0
2020-09-12,64,5,1,34.695626745287186,115.59507799782669,80.8994512525395,233.16901535300363,20.0
2020-09-13,54,10,1,131.18925778140758,41.538893976309254,-89.65036380509832,-68.33666515171318,10.0
2020-09-19,61,8,1,118.1149704541733,11.032967662925483,-107.08200279124782,-90.65912845721272,12.5
2020-09-26,62,2,0,30.863837435844943,0.0,-30.863837435844943,-100.0,0.0
2020-09-27,51,8,3,361.94144531326515,591.8571483984445,229.91570308517927,63.52290019900433,37.5
2020-10-03,60,7,1,179.7561190296772,153.4455390389721,-26.310579990705087,-14.636820227722701,14.285714285714286
2020-10-10,64,4,1,77.1797709944469,34.71727925125253,-42.46249174319436,-55.01764412626923,25.0
2020-10-17,62,5,1,99.58053188670428,86.21279671474558,-13.367735171958707,-13.424044759238257,20.0
2020-10-24,62,5,0,24.06531711026657,0.0,-24.06531711026657,-100.0,0.0
2020-10-25,45,6,1,274.4663909726403,141.6331657980167,-132.83322517462358,-48.39690014646086,16.666666666666668
2020-10-31,62,4,1,171.27649344993608,264.5546271765759,93.27813372663978,54.46055780789607,25.0
2020-11-07,62,12,1,201.31080889824634,121.10232002030301,-80.2084888779433,-39.84311091735025,8.333333333333334
2020-11-08,64,11,1,217.10684586278816,538.0225492484788,320.9157033856907,147.81464034925452,9.090909090909092
2020-11-14,70,6,1,150.61111203775027,38.24816162050791,-112.36295041724237,-74.60468812492329,16.666666666666668
