text,F1,Recall,Precision,Accuracy,AUC,b_iter,model
"early, AUC, Balanced|",0.757,0.775,0.74,0.754,0.823,17.0,<catboost.core.CatBoostClassifier object at 0x0000021D6CFC3E50>
"early, AUC, SqrtBal|",0.384,0.287,0.59,0.784,0.823,37.0,<catboost.core.CatBoostClassifier object at 0x0000021D6CFC3B80>
"early, AUC, None|",0.08199999999999999,0.045,0.63,0.914,0.825,62.0,<catboost.core.CatBoostClassifier object at 0x0000021D6CFC38B0>
"2000, AUC, Balanced|",0.669,0.599,0.77,0.711,0.8140000000000001,,<catboost.core.CatBoostClassifier object at 0x0000021D732B27C0>
"2000, AUC, Bal use_b|",0.757,0.775,0.74,0.754,0.823,17.0,<catboost.core.CatBoostClassifier object at 0x0000021D72D18760>
"early, F1, Balanced|",0.757,0.774,0.74,0.754,0.821,10.0,<catboost.core.CatBoostClassifier object at 0x0000021D732A4790>
"early, AUC, scale|",0.713,0.72,0.71,0.748,0.8059999999999999,0.0,<catboost.core.CatBoostClassifier object at 0x0000021D6D0002E0>
"early, AUC, scale|",0.743,0.747,0.74,0.746,0.825,20.0,<catboost.core.CatBoostClassifier object at 0x0000021D7291EC10>
all|,0.762,0.7879999999999999,0.74,0.7559999999999999,0.8240000000000001,41.0,<catboost.core.CatBoostClassifier object at 0x0000021D03B06520>
vodds|,0.7509999999999999,0.768,0.74,0.747,0.82,22.0,<catboost.core.CatBoostClassifier object at 0x000001C51456EF70>
podds|,0.773,0.821,0.73,0.76,0.82,15.0,<catboost.core.CatBoostClassifier object at 0x000001C51131A2E0>
kr|,0.643,0.7390000000000001,0.57,0.593,0.644,4.0,<catboost.core.CatBoostClassifier object at 0x000001C51435A370>
streck|,0.7140000000000001,0.691,0.74,0.725,0.8059999999999999,218.0,<catboost.core.CatBoostClassifier object at 0x000001C514234190>
bins|,0.7609999999999999,0.795,0.731,0.753,0.821,25.0,<catboost.core.CatBoostClassifier object at 0x000001C51435A9D0>
pris|,0.575,0.5539999999999999,0.599,0.595,0.599,0.0,<catboost.core.CatBoostClassifier object at 0x000001C5142345B0>
small - spår|,0.581,0.5710000000000001,0.594,0.593,0.62,1.0,<catboost.core.CatBoostClassifier object at 0x000001C51438D3D0>
podds dist|,0.767,0.8140000000000001,0.725,0.754,0.821,29.0,<catboost.core.CatBoostClassifier object at 0x000001C52AB93700>
podds pris|,0.77,0.82,0.725,0.7559999999999999,0.82,24.0,<catboost.core.CatBoostClassifier object at 0x000001C52ABFBCA0>
podds vodds streck bins|,0.76,0.789,0.733,0.752,0.8220000000000001,26.0,<catboost.core.CatBoostClassifier object at 0x000001C52AFAF850>
podds bins|,0.754,0.7709999999999999,0.737,0.75,0.821,28.0,<catboost.core.CatBoostClassifier object at 0x000001C52AFAFE20>
podds|,0.777,0.845,0.72,0.76,0.817,2.0,<catboost.core.CatBoostClassifier object at 0x0000018E618145E0>
