iterations,test-AUC-mean,test-AUC-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std,typ,best_params,comm
296,0.7977221738934926,0.0032507428932273,0.2630867108387974,0.0022988088544906,0.2605344399664663,0.0009382287908584,1,"'d': 4, 'l2': 9, 'LR': 0.005",
283,0.8132489298083682,0.0034241170866835,0.2593811117081557,0.0018007475847371,0.2555147203752506,0.0013944353990471,6,"'d': 6, 'l2': 9, 'LR': 0.005",
297,0.8131787993732443,0.0049668957795392,0.25747137472663,0.0019756885132302,0.2542323863174284,0.000886274390317,9,"'d': 4, 'l2': 10, 'LR': 0.005",
297,0.8131787993732443,0.0049668957795392,0.25747137472663,0.0019756885132302,0.2542323863174284,0.000886274390317,16,"'d': 4, 'l2': 10, 'LR': 0.005",
298,0.79813793573237,0.0045137163881754,0.2676211238529747,0.0113528436399193,0.265051614031382,0.0115948463418443,1,"'d': 4, 'l2': 11, 'LR': 0.005",fler val
299,0.8139128400953313,0.004759657760114,0.2588103583641715,0.0018240486348234,0.2564679255483674,0.0006023512194866,6,"'d': 2, 'l2': 9, 'LR': 0.005",fler val
297,0.8131787993732443,0.0049668957795392,0.25747137472663,0.0019756885132302,0.2542323863174284,0.000886274390317,9,"'d': 4, 'l2': 10, 'LR': 0.005",fler val
297,0.8131787993732443,0.0049668957795392,0.25747137472663,0.0019756885132302,0.2542323863174284,0.000886274390317,16,"'d': 4, 'l2': 10, 'LR': 0.005",fler val
432,0.7993072708617638,0.0032755394279313163,0.2600901692671115,0.02113031354023943,0.25648335417328083,0.02400230233971929,1,"'d': 4, 'l2': 8, 'LR': 0.005",ökade iter=500
460,0.8150029433080934,0.004841840233076284,0.24405198147968177,0.0021838845126579474,0.2408949087043947,0.0014423627005464752,6,"'d': 2, 'l2': 9, 'LR': 0.005",ökade iter=500
496,0.8149132288872218,0.004943475918417685,0.24267721373635737,0.0024699222504856303,0.23912300452474966,0.0017518549121767273,9,"'d': 2, 'l2': 10, 'LR': 0.005",ökade iter=500
496,0.8149132288872218,0.004943475918417685,0.24267721373635737,0.0024699222504856303,0.23912300452474966,0.0017518549121767273,16,"'d': 2, 'l2': 10, 'LR': 0.005",ökade iter=500
